"","voyage_id","ship_name","port_origin","place_of_purchase","port_arrival","year_arrival","n_slaves_arrived","captains_name","state"
"1",81780,"Hector","Liverpool","Congo River","Charleston",1806,240,"Harney, Thomas","South Carolina"
"2",82964,"Old England","Liverpool","Gold Coast, port unspecified","Charleston",1784,181,"Harrison, Edward<br/> Garnet, John","South Carolina"
"3",83672,"Swan","London","Gold Coast, port unspecified","Charleston",1806,194,"Smith, D","South Carolina"
"4",83727,"Tartar","Liverpool","Congo River","Charleston",1807,240,"Mitchell, John","South Carolina"
"5",971,"Fenix (a) Phoenix","Havana","Africa., port unspecified","New Orleans",1830,82,"Torre, Francisco de la<br/> Torre, Pablo de la","Unknown"
"6",90760,"Alice","Liverpool","Loango","Rappahannock",1761,122,"Murdock, Samuel","Virginia"
"7",2657,NA,NA,"Africa., port unspecified","Puerto Rico, port unspecified",1840,340,NA,"Puerto Rico"
"8",13933,"Superior","St. Thomas","Africa., port unspecified","Florida, port unspecified",1802,250,"Kingsley","Florida"
"9",14138,"Sally","Bordeaux","Congo River","New Orleans",1803,174,"Edwards, Henry<br/> Guibert, Auguste","Unknown"
"10",14524,"Empresa",NA,"Africa., port unspecified","New Orleans",1810,140,NA,"Unknown"
"11",14913,"Jeffrey","London","Calabar","Virginia, port unspecified",1694,265,"Soane, John","Virginia"
"12",14925,"Angola","London","Loango","York River",1703,92,"Arnold, Thomas","Virginia"
"13",14939,"Angola","London","Cape Coast Castle","York River",1705,214,"Arnold, Thomas","Virginia"
"14",15005,"Postillion","London","Gambia","Virginia, port unspecified",1704,81,"Tozer, John","Virginia"
"15",15064,"Blossom",NA,"Cape Coast Castle","Virginia, port unspecified",1679,244,"Smith, William","Virginia"
"16",15174,NA,"Bermuda","Calabar","Virginia, port unspecified",1672,125,NA,"Virginia"
"17",15175,NA,"Bermuda","Calabar","USA, location unspecified",1683,90,"Stone","Unknown"
"18",15177,"Providence","London","Gambia","Maryland, port unspecified",1709,150,"Johnson, Thomas","Maryland"
"19",15182,"Young Margaret","London","Gambia","Virginia, port unspecified",1709,230,"Frisby, James","Virginia"
"20",15195,"John and Constance","London","Africa., port unspecified","Virginia, port unspecified",1710,270,"Parker, Samuel","Virginia"
"21",15203,"Loyall Johnson","London","Africa., port unspecified","Charleston",1710,180,"Carter, Zebulon","South Carolina"
"22",15207,"Prosperous","London","Calabar","Virginia, port unspecified",1710,125,"Hinton, Richard (a) Hilton","Virginia"
"23",16013,"Anne","Bristol","Africa., port unspecified","York River",1703,64,"Howard, Humphry","Virginia"
"24",16016,"African Gally","Bristol","Africa., port unspecified","Virginia, port unspecified",1706,196,"Bond, Francis<br/> Saunders","Virginia"
"25",16017,"Wakeing Lyon","Bristol","Calabar","Virginia, port unspecified",1706,154,"Winter, Arnold","Virginia"
"26",16032,"Queen Anne Gally","Bristol","Africa., port unspecified","Virginia, port unspecified",1707,90,"Blake, John","Virginia"
"27",16033,"Stonedge Gally","Bristol","Calabar","Virginia, port unspecified",1707,158,"Levercomb, William","Virginia"
"28",16052,"Leopard Gally","Bristol","Calabar","Rappahannock",1710,201,"Owen, John","Virginia"
"29",16083,"Union Sloop","Bristol","Gold Coast, port unspecified","Charleston",1711,113,"Toms, John","South Carolina"
"30",20161,"Ann","London","Bight of Biafra and Gulf of Guinea Islands, port unspecified","Virginia, port unspecified",1699,260,"Haslewood","Virginia"
"31",20491,"Ellen","Liverpool","Anomabu","York River",1718,69,"Almond, David<br/> Jackson, Thomas","Virginia"
"32",20793,"Dolphin Gally","London","Calabar","Virginia, port unspecified",1707,290,"Taylor, Nevison","Virginia"
